id,title,content,createdAt,imageUrl
1,"Champions League Final: Real Madrid Crowned Champions","Real Madrid secured a 3–1 victory in a dominant Champions League final performance...",2024-05-01,"https://images.unsplash.com/photo-1517927033932-b3d18e61fb3a"
2,"NBA Playoffs: Lakers Survive Game 7 Thriller","The Los Angeles Lakers edged out the Nuggets in a nail-biting Game 7 showdown...",2024-05-02,"https://images.unsplash.com/photo-1517649763962-0c623066013b"
3,"Premier League: Arsenal Back on Top","Arsenal moved back to first place after a decisive 4–1 win against Brighton...",2024-05-03,"https://images.unsplash.com/photo-1508609349937-5ec4ae374ebf"
4,"Formula 1: Verstappen Extends Championship Lead","Max Verstappen dominated another Grand Prix weekend, taking pole and the win...",2024-05-04,"https://images.unsplash.com/photo-1505738290762-01acc746b89c"
5,"UFC 302: Stunning Knockout in Main Event","A shocking first-round knockout stole the show in UFC 302’s main event...",2024-05-04,"https://images.unsplash.com/photo-1534158914592-062992fbe700"
6,"NHL Playoffs: Rangers Advance to Conference Finals","The New York Rangers clinched the series with a 5–2 win in Game 6...",2024-05-05,"https://images.unsplash.com/photo-1486299267070-83823f5448dd"
7,"La Liga: Barcelona Drop Points in Title Race","Barcelona’s 1–1 draw against Valencia puts their title hopes in jeopardy...",2024-05-06,"https://images.unsplash.com/photo-1521412644187-c49fa049e84d"
8,"Tennis: Djokovic Returns Strong in Clay Season Opener","Novak Djokovic looked sharp in his first clay match of the season...",2024-05-06,"https://images.unsplash.com/photo-1519692933481-e162a57d6721"
9,"Olympics 2024: New Security Measures Announced","Paris has unveiled updated security plans ahead of the 2024 Summer Olympics...",2024-05-07,"https://images.unsplash.com/photo-1517649418965-ffb5f1b2e428"
10,"MLS: Inter Miami Continue Winning Streak","Inter Miami secured their sixth consecutive win with a dramatic late goal...",2024-05-08,"https://images.unsplash.com/photo-1600059832674-91f3f2b3f0ed"
11,"MotoGP: Last-Lap Drama in Spain","A bold overtake in the final corner sealed victory at the Spanish Grand Prix...",2024-05-08,"https://images.unsplash.com/photo-1558981403-c5f9891a6fff"
12,"Boxing: Heavyweight Superfight Announced","Two heavyweight champions have agreed to a long-awaited unification bout...",2024-05-09,"https://images.unsplash.com/photo-1571008887538-14a8cd24cf6f"
13,"Cricket: India Clinch T20 Series","India secured the T20 series after a stellar all-round performance in the final match...",2024-05-10,"https://images.unsplash.com/photo-1547347298-4074fc3086f0"
14,"Rugby: All Blacks Dominate Opening Test","New Zealand delivered a commanding performance in their first Test of the season...",2024-05-10,"https://images.unsplash.com/photo-1508672019048-805c876b67e2"
15,"Bundesliga: Bayern Win Seven-Goal Thriller","Bayern Munich outlasted Dortmund in an explosive 4–3 match...",2024-05-11,"https://images.unsplash.com/photo-1517922302871-9fa67e51ed9f"
16,"Cycling: New Leader in Giro d’Italia","A surprise breakaway rider claimed the pink jersey after Stage 9...",2024-05-12,"https://images.unsplash.com/photo-1505842465776-3d90f616310d"
17,"NFL: Draft Class Shows Strong Quarterback Talent","Analysts praise this year’s draft as one of the deepest QB classes in a decade...",2024-05-12,"https://images.unsplash.com/photo-1518600506278-4e8ef466b810"
18,"Baseball: Yankees Extend AL East Lead","The New York Yankees won their fifth straight game behind dominant pitching...",2024-05-13,"https://images.unsplash.com/photo-1518306727297-4c86cd9f1a3f"
19,"WNBA: Rookie Shines in Season Debut","A standout rookie delivered 28 points in her first professional game...",2024-05-13,"https://images.unsplash.com/photo-1505840717128-6f202417f6e5"
20,"Golf: Masters Preview Highlights Top Contenders","Experts weigh in on which golfers are best positioned to win the green jacket...",2024-05-14,"https://images.unsplash.com/photo-1507504031003-b417219a0fde"
21,"Swimming: World Champion Sets New Record","A new world record was set during the 200m freestyle finals...",2024-05-14,"https://images.unsplash.com/photo-1518098268026-4e89f1a2cd4e"
22,"Volleyball: Brazil Defeats Italy in Five-Set Epic","Brazil outlasted Italy in a dramatic five-set battle in the Nations League...",2024-05-15,"https://images.unsplash.com/photo-1521412644187-c49fa049e84d"
23,"Athletics: Sprinter Breaks Season Record","A rising star in the 100m dash posted the fastest time of the season...",2024-05-15,"https://images.unsplash.com/photo-1502810190503-830027c1fe6c"
24,"Hockey: Maple Leafs Make Key Trade","Toronto acquired a top defender in a major trade ahead of the postseason...",2024-05-16,"https://images.unsplash.com/photo-1509228468518-180dd4864904"
25,"Fencing: Gold Medal Match Ends in Upset","A lower-ranked fencer stunned the favorite with a comeback victory...",2024-05-16,"https://images.unsplash.com/photo-1589571739149-47ed80eae6ba"
26,"Esports: CS2 Major Sees Huge Upset","A top seed was eliminated early in one of the biggest surprises of the CS2 Major...",2024-05-17,"https://images.unsplash.com/photo-1559136555-9303baea8f43"
27,"Snooker: Veteran Reaches Final Again","A veteran legend advanced to yet another championship final after a tense semifinal...",2024-05-17,"https://images.unsplash.com/photo-1604014232478-bf4ecfba0c11"
28,"Handball: Denmark Wins Championship","Denmark secured the title after a dominant showing in the final match...",2024-05-18,"https://images.unsplash.com/photo-1517649022861-ec50e34f3c49"
29,"Skiing: Season Opener in Austria Draws Massive Crowd","The winter season opened with a spectacular giant slalom event...",2024-05-18,"https://images.unsplash.com/photo-1516542076529-1ea3854896e1"
30,"Table Tennis: China Sweeps Team Finals","China continued its dominance by sweeping the team competitions at the World Championships...",2024-05-19,"https://images.unsplash.com/photo-1556112921-38c7a5a5e803"
